BSE_CODE,BSE_NAME,BSE_SYMBOL,BSE_SECURITY_NAME,Status,Group,BSE_FACE_VALUE,ISIN,Instrument,NSE_SYMBOL,NSE_NAME,SERIES,DATE OF LISTING,PAID UP VALUE,MARKET LOT,NSE_FACE_VALUE,CompanyName,Ticker,Exchange
523792,Mazda Ltd.,MAZDA,Mazda Ltd-$,Active,B ,2,INE885E01042,Equity,MAZDA,Mazda Limited,EQ,1-Nov-16,2,1,2,Mazda Limited,MAZDA.NS,BOTH
,,,,,,,INE326T01011,,NIRAJISPAT,Niraj Ispat Industries Limited,EQ,27-Oct-16,10,1,10,Niraj Ispat Industries Limited,NIRAJISPAT.NS,NSE
140153,Endurance Technologies Limited,ENDURANCE#,Endurance Technologies Limited,Active,A ,10,INE913H01037,Equity,ENDURANCE,Endurance Technologies Limited,EQ,19-Oct-16,10,1,10,Endurance Technologies Limited,ENDURANCE.NS,BOTH
,,,,,,,INE885F01015,,MASKINVEST,Mask Investments Limited,BE,14-Oct-16,10,1,10,Mask Investments Limited,MASKINVEST.NS,NSE
540136,HPL Electric & Power Limited,HPL,HPL Electric & Power Ltd,Active,B ,10,INE495S01016,Equity,HPL,HPL Electric & Power Limited,EQ,4-Oct-16,10,1,10,HPL Electric & Power Limited,HPL.NS,BOTH
140133,ICICI Prudential Life Insurance Company Limited,ICICIPRULI#,ICICI Prudential Life Insurance Company Limited,Active,A ,10,INE726G01019,Equity,ICICIPRULI,ICICI Prudential Life Insurance Company Limited,EQ,29-Sep-16,10,1,10,ICICI Prudential Life Insurance Company Limited,ICICIPRULI.NS,BOTH
503101,Marathon Nextgen Realty Ltd,MARATHON,Marathon Nextgen Realty Ltd,Active,B ,5,INE182D01020,Equity,MARATHON,Marathon Nextgen Realty Limited,EQ,29-Sep-16,5,1,5,Marathon Nextgen Realty Limited,MARATHON.NS,BOTH
540124,G N A Axles Limited,GNA,G N A Axles Ltd,Active,B ,10,INE934S01014,Equity,GNA,GNA Axles Limited,EQ,26-Sep-16,10,1,10,GNA Axles Limited,GNA.NS,BOTH
140115,L&T Technology Services Limited,LTTS#,L&T Technology Services Limited,Active,A ,2,INE010V01017,Equity,LTTS,L&T Technology Services Limited,EQ,23-Sep-16,2,1,2,L&T Technology Services Limited,LTTS.NS,BOTH
530843,Cupid Limited,CUPID,Cupid Ltd-$,Active,B ,1,INE509F01029,Equity,CUPID,Cupid Limited,EQ,16-Sep-16,1,1,1,Cupid Limited,CUPID.NS,BOTH
540081,Sab Events & Governance Now Media Limited,SABEVENTS,SAB Events & Governance Now Media Ltd,Active,T ,10,INE860T01019,Equity,SABEVENTS,Sab Events & Governance Now Media Limited,BE,15-Sep-16,10,1,10,Sab Events & Governance Now Media Limited,SABEVENTS.NS,BOTH
540083,TV VISION LIMITED,TVVISION,TV Vision Ltd,Active,B ,10,INE871L01013,Equity,TVVISION,TV Vision Limited,EQ,15-Sep-16,10,1,10,TV Vision Limited,TVVISION.NS,BOTH
540061,Bigbloc Construction Limited,BIGBLOC,Bigbloc Construction Ltd,Active,B ,2,INE412U01025,Equity,BIGBLOC,Bigbloc Construction Limited,EQ,2-Sep-16,2,1,2,Bigbloc Construction Limited,BIGBLOC.NS,BOTH
540065,RBL Bank Limited,RBLBANK,RBL Bank Ltd,Active,A ,10,INE976G01028,Equity,RBLBANK,RBL Bank Limited,EQ,31-Aug-16,10,1,10,RBL Bank Limited,RBLBANK.NS,BOTH
,,,,,,,INE756C01015,,NDGL,Naga Dhunseri Group Limited,EQ,29-Aug-16,10,1,10,Naga Dhunseri Group Limited,NDGL.NS,NSE
540048,S.P. Apparels Limited,SPAL,S.P. Apparels Ltd,Active,B ,10,INE212I01016,Equity,SPAL,S. P. Apparels Limited,EQ,12-Aug-16,10,1,10,S. P. Apparels Limited,SPAL.NS,BOTH
540047,Dilip Buildcon Limited,DBL,Dilip Buildcon Ltd,Active,A ,10,INE917M01012,Equity,DBL,Dilip Buildcon Limited,EQ,11-Aug-16,10,1,10,Dilip Buildcon Limited,DBL.NS,BOTH
517344,Mindteck (India) Ltd,MINDTECK,Mindteck (India) Ltd,Active,B ,10,INE110B01017,Equity,MINDTECK,Mindteck (India) Limited,EQ,2-Aug-16,10,1,10,Mindteck (India) Limited,MINDTECK.NS,BOTH
540025,Advanced Enzyme Technologies Limited,ADVENZYMES,Advanced Enzyme Technologies Ltd,Active,A ,2,INE837H01020,Equity,ADVENZYMES,Advanced Enzyme Technologies Limited,EQ,1-Aug-16,2,1,2,Advanced Enzyme Technologies Limited,ADVENZYMES.NS,BOTH
